Name,Street,District
"«Бескудниково», Дмитровское шоссе (от центра)",Дмитровское шоссе,Бескудниковский район
"«Баскетбольная школа», Дубнинская улица (от центра)",Дубнинская улица,район Восточное Дегунино
"«Д/к Юность», Дубнинская улица (от центра)",Дубнинская улица,район Восточное Дегунино
"«Мкр. Дубки», Дубнинская улица (от центра)",Дубнинская улица,район Восточное Дегунино
"«Ин-т Стали», Дубнинская улица (от центра)",Дубнинская улица,район Восточное Дегунино
"«Керамический пр.», Дубнинская улица (от центра)",Дубнинская улица,район Восточное Дегунино
"«Платф. Лианозово (выс.)», Дубнинская улица (от центра)",Дубнинская улица,район Восточное Дегунино
"«Ст. Ховрино (пос.)», Ангарская улица (в центр)",Ангарская улица,район Западное Дегунино
"«Весенняя ул.», Ангарская улица (от центра)",Ангарская улица,район Западное Дегунино
"«Мкр. Западное Дегунино», Ангарская улица (от центра)",Ангарская улица,район Западное Дегунино
"«Метро Ховрино», улица Дыбенко (в центр)",улица Дыбенко,район Ховрино
"«Улица Лавочкина», Фестивальная улица (от центра)",Фестивальная улица,Головинский район
"«Речной вокзал», Ленинградское шоссе (в центр)",Ленинградское шоссе,Левобережный район
"«Парк Дружбы», Фестивальная улица (в центр)",Фестивальная улица,Левобережный район
"«Беломорская улица», Беломорская улица (от центра)",Беломорская улица,район Ховрино
"«Смольная улица», Смольная улица (в центр)",Смольная улица,Головинский район
"«Онежская улица», Онежская улица (от центра)",Онежская улица,Головинский район
"«Коптево», улица Зои и Александра Космодемьянских",улица Зои и Александра Космодемьянских,район Коптево
"«Балтийская», Ленинградское шоссе (от центра)",Ленинградское шоссе,Войковский район
"«Войковская», Ленинградское шоссе (в центр)",Ленинградское шоссе,Войковский район
